timestamp_utc,tick_num,voice_healthy_pct,voice_pd_pct,mse_personal,th_personal,ratio_personal,status_personal,risk_pct,cough_count,cough_pd_score,cough_label,cough_centroid,cough_zcr,cough_cf,cough_ppr,combined_pd,combined_label
2026-03-08T04:58:59.071008+00:00,1,2.34,97.66,0.109226,0.024684,4.425013,flagged,100.00,0,,,,,,,0.9766,HIGH_RISK
2026-03-08T04:58:59.752938+00:00,2,1.74,98.26,0.106952,0.024684,4.332871,flagged,100.00,0,,,,,,,0.9826,HIGH_RISK
2026-03-08T04:59:01.676282+00:00,3,2.03,97.97,0.104509,0.024684,4.233896,flagged,100.00,0,,,,,,,0.9797,HIGH_RISK
2026-03-08T04:59:03.693486+00:00,4,1.01,98.99,0.081410,0.024684,3.298114,flagged,100.00,3,0.4707,MODERATE_RISK,1163,0.0785,6.96,0.1430,0.7562,HIGH_RISK
2026-03-08T04:59:14.126900+00:00,5,2.00,98.00,0.053456,0.024684,2.165622,flagged,100.00,3,0.0645,LOW_RISK,1889,0.1541,7.82,0.8903,0.5680,MODERATE_RISK
2026-03-08T04:59:16.028525+00:00,6,2.02,97.98,0.059442,0.024684,2.408129,flagged,100.00,3,0.0643,LOW_RISK,1915,0.1556,7.64,1.0778,0.5678,MODERATE_RISK
2026-03-08T04:59:17.952182+00:00,7,1.96,98.04,0.073265,0.024684,2.968145,flagged,100.00,3,0.0638,LOW_RISK,1918,0.1551,7.61,1.0956,0.5679,MODERATE_RISK
2026-03-08T04:59:20.084923+00:00,8,2.40,97.60,0.104976,0.024684,4.252833,flagged,100.00,0,,,,,,,0.9760,HIGH_RISK
2026-03-08T04:59:22.643401+00:00,9,2.41,97.59,0.063043,0.024684,2.553998,flagged,100.00,2,0.0757,LOW_RISK,1999,0.1591,8.38,1.2837,0.5708,MODERATE_RISK
2026-03-08T05:00:22.720179+00:00,10,2.87,97.13,0.097016,0.024684,3.930332,flagged,100.00,0,,,,,,,0.9713,HIGH_RISK
2026-03-08T05:00:24.535237+00:00,11,4.34,95.66,0.094273,0.024684,3.819205,flagged,100.00,0,,,,,,,0.9566,HIGH_RISK
2026-03-08T05:00:49.480963+00:00,12,3.54,96.46,0.090643,0.024684,3.672147,flagged,100.00,1,0.1802,LOW_RISK,1480,0.1180,8.82,0.7938,0.6116,HIGH_RISK
2026-03-08T05:00:51.571244+00:00,13,2.33,97.67,0.084571,0.024684,3.426147,flagged,100.00,2,0.2964,LOW_RISK,1492,0.1130,6.54,0.2524,0.6706,HIGH_RISK
2026-03-08T05:00:57.809352+00:00,14,2.38,97.62,0.028867,0.024684,1.169460,flagged,66.95,3,0.2177,LOW_RISK,1558,0.1270,7.53,0.4252,0.6349,HIGH_RISK
2026-03-08T05:00:59.874055+00:00,15,2.78,97.22,0.052309,0.024684,2.119176,flagged,100.00,3,0.0692,LOW_RISK,1799,0.1577,7.86,1.5276,0.5659,MODERATE_RISK
2026-03-08T05:01:13.032376+00:00,16,2.87,97.13,0.034557,0.024684,1.399990,flagged,90.00,3,0.0573,LOW_RISK,1857,0.1405,7.66,1.7982,0.5600,MODERATE_RISK
2026-03-08T05:01:14.893544+00:00,17,2.99,97.01,0.053585,0.024684,2.170831,flagged,100.00,3,0.0574,LOW_RISK,1851,0.1407,7.68,1.8279,0.5594,MODERATE_RISK
2026-03-08T05:01:17.266816+00:00,18,2.97,97.03,0.050370,0.024684,2.040609,flagged,100.00,3,0.0573,LOW_RISK,1853,0.1406,7.67,1.8521,0.5594,MODERATE_RISK
2026-03-08T05:01:18.998111+00:00,19,1.66,98.34,0.083467,0.024684,3.381453,flagged,100.00,0,,,,,,,0.9834,HIGH_RISK
2026-03-08T05:01:21.048676+00:00,20,2.16,97.84,0.083994,0.024684,3.402785,flagged,100.00,0,,,,,,,0.9784,HIGH_RISK
2026-03-08T05:01:23.332735+00:00,21,1.51,98.49,0.088073,0.024684,3.568020,flagged,100.00,0,,,,,,,0.9849,HIGH_RISK
2026-03-08T05:01:29.586004+00:00,22,1.54,98.46,0.072656,0.024684,2.943476,flagged,100.00,0,,,,,,,0.9846,HIGH_RISK
2026-03-08T05:01:36.318256+00:00,23,1.56,98.44,0.056385,0.024684,2.284291,flagged,100.00,0,,,,,,,0.9844,HIGH_RISK
